Dataset,AnalysisType,LLM_Cluster_Used,Model,Mean_AUC,AUC_StdDev,SVI,TopFeatures
data_79_quadratic,Assisted,cluster_t5,LogisticReg,0.6077561009141029,0.06542473423521693,14.285714285714286,N/A
data_79_quadratic,Assisted,cluster_t5,RandomForest,0.8724271130681761,0.036034029930020826,14.285714285714286,N/A
data_79_quadratic,Assisted,cluster_t5,GradientBoost,0.884687973102855,0.050823640655675364,14.285714285714286,N/A
data_79_quadratic,Assisted,cluster_bert,LogisticReg,0.7032694461425458,0.055709234363617945,14.285714285714286,N/A
data_79_quadratic,Assisted,cluster_bert,RandomForest,0.888725750331326,0.03315239631962605,14.285714285714286,N/A
data_79_quadratic,Assisted,cluster_bert,GradientBoost,0.8900586406126827,0.044302621495537736,14.285714285714286,N/A
data_91_linear,Unassisted,N/A,LogisticReg,0.6164381589789621,0.058163269178222544,12.5,N/A
data_91_linear,Unassisted,N/A,RandomForest,0.872743173084514,0.030702193190157455,12.5,N/A
data_91_linear,Unassisted,N/A,GradientBoost,0.8117453173728748,0.04884957474097627,12.5,N/A
data_91_linear,Assisted,cluster_roberta,LogisticReg,0.6190923969700551,0.05763095501062974,12.195121951219512,N/A
data_91_linear,Assisted,cluster_roberta,RandomForest,0.8685485789572509,0.033770773917749325,12.195121951219512,N/A
data_91_linear,Assisted,cluster_roberta,GradientBoost,0.8104488123698579,0.051047381411896485,12.195121951219512,N/A
data_91_linear,Assisted,cluster_bert,LogisticReg,0.6478126865098414,0.057505293647718905,12.195121951219512,N/A
data_91_linear,Assisted,cluster_bert,RandomForest,0.8766412893889526,0.030265599975427136,12.195121951219512,N/A
data_91_linear,Assisted,cluster_bert,GradientBoost,0.8193842146397876,0.04913214099038733,12.195121951219512,N/A
data_91_linear,Assisted,cluster_minilm,LogisticReg,0.6282065436955885,0.05859771150629211,12.195121951219512,N/A
data_91_linear,Assisted,cluster_minilm,RandomForest,0.8724411468741554,0.03262261744241896,12.195121951219512,N/A
data_91_linear,Assisted,cluster_minilm,GradientBoost,0.8153271332151978,0.04790573206515686,12.195121951219512,N/A
data_91_linear,Assisted,cluster_gatortron,LogisticReg,0.6517126665716698,0.06086386485176362,12.195121951219512,N/A
data_91_linear,Assisted,cluster_gatortron,RandomForest,0.8738162151682168,0.034824153078633166,12.195121951219512,N/A
